City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Olinda,BR,-8.0089,-34.8553,76.73,78,75,16.11,broken clouds
165,Peniche,PT,39.3558,-9.3811,67.48,92,100,6.2,overcast clouds
166,Linxia,CN,35.6003,103.2064,52.0,78,100,2.06,overcast clouds
167,Port Hedland,AU,-20.3167,118.5667,64.45,63,6,3.44,clear sky
168,Birjand,IR,32.8663,59.2211,66.67,22,0,9.22,clear sky
169,Dhidhdhoo,MV,6.8833,73.1,76.48,88,100,33.2,overcast clouds
170,Kruisfontein,ZA,-34.0033,24.7314,59.88,89,79,6.73,broken clouds
171,Kaeo,NZ,-35.1,173.7833,61.32,63,98,6.13,overcast clouds
172,Oyama,JP,36.3,139.8,67.89,65,46,6.98,scattered clouds
173,Faanui,PF,-16.4833,-151.75,79.84,69,15,12.55,few clouds
174,Nanortalik,GL,60.1432,-45.2371,37.2,79,6,1.54,clear sky
175,Luziania,BR,-16.2525,-47.9503,80.29,36,82,3.85,broken clouds
176,Imbituba,BR,-28.24,-48.6703,71.49,93,0,8.61,clear sky
177,Cienfuegos,CU,22.1461,-80.4356,83.21,78,78,2.3,light rain
178,Haines Junction,CA,60.7522,-137.5108,39.15,65,100,8.05,light rain
179,Victoria,HK,22.2855,114.1577,84.33,83,17,1.99,few clouds
180,Salina Cruz,MX,16.1667,-95.2,87.28,62,31,16.98,scattered clouds
181,Okakarara,NA,-20.5833,17.4333,65.23,17,4,4.52,clear sky
182,Clyde River,CA,70.4692,-68.5914,26.51,86,34,7.58,scattered clouds
183,Ada,US,43.4166,-116.1262,85.77,17,1,3.0,clear sky
184,Touros,BR,-5.1989,-35.4608,79.7,80,13,16.73,few clouds
185,Lorengau,PG,-2.0226,147.2712,81.91,81,98,8.99,overcast clouds
186,Fraserburgh,GB,57.6874,-2.0184,61.18,77,99,22.24,overcast clouds
187,Awbari,LY,26.5921,12.7805,75.27,21,0,6.24,clear sky
188,Acarau,BR,-2.8856,-40.12,78.96,82,66,17.47,broken clouds
189,Islamkot,PK,24.6997,70.177,82.99,76,33,9.91,scattered clouds
190,Thinadhoo,MV,0.5333,72.9333,81.48,76,100,16.6,overcast clouds
191,Brigham City,US,41.5102,-112.0155,87.8,17,1,1.99,clear sky
192,Tsumeb,NA,-19.2333,17.7167,69.35,11,0,7.47,clear sky
193,Kaitangata,NZ,-46.2817,169.8464,50.94,60,7,2.55,clear sky
194,Porbandar,IN,21.6422,69.6093,80.17,87,67,7.34,broken clouds
195,Cap Malheureux,MU,-19.9842,57.6142,69.48,87,44,11.01,light rain
196,Kirakira,SB,-10.4544,161.9205,85.03,69,86,10.16,overcast clouds
197,Porto Novo,BJ,6.4965,2.6036,78.62,85,96,4.29,overcast clouds
198,Raudeberg,NO,61.9875,5.1352,59.67,90,86,16.55,overcast clouds
199,Kenai,US,60.5544,-151.2583,47.08,60,1,6.91,clear sky
200,Salalah,OM,17.0151,54.0924,82.49,89,75,5.75,broken clouds
201,Varna,BG,43.2167,27.9167,60.94,94,0,4.61,clear sky
202,Tshikapa,CD,-6.4167,20.8,71.96,84,96,2.28,overcast clouds
203,Surt,LY,31.2089,16.5887,74.01,65,19,8.21,few clouds
204,Caidian,CN,30.5833,114.0333,71.73,87,1,6.91,light rain
205,Henties Bay,NA,-22.116,14.2845,57.85,92,0,3.8,clear sky
206,Nouakchott,MR,18.0858,-15.9785,76.93,78,37,11.68,scattered clouds
207,San Andres,CO,12.5847,-81.7006,86.02,79,75,11.5,broken clouds
208,Mehamn,NO,71.0357,27.8492,46.83,91,100,11.25,light rain
209,Tadepallegudem,IN,16.8333,81.5,75.69,95,100,10.87,heavy intensity rain
210,Gewane,ET,10.1664,40.6453,88.9,31,99,4.56,overcast clouds
211,Kavaratti,IN,10.5669,72.642,81.14,79,100,25.46,light rain
